,question_1,response_1,question_2,response_2,question_3,response_3,question_4,response_4,question_5,response_5,question_6,response_6,question_7,response_7,question_8,response_8,question_9,response_9
0,もし遠隔授業になった場合、この授業を受講するのに主に使うのはどれですか？一つ選んでください。   : コンピュータ（Mac）; コンピュータ（Windows）; コンピュータ（Linux）; スマートフォン（iPhone）; スマートフォン（Android）; タブレット（iPad）   ; タブレット（Android）   ; その他,コンピュータ（Windows）,英語に関心がありますか？: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,どちらかというとそう思う,コンピュータやインターネットに関心がありますか？: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,そう思う,Excelについて当てはまるものをいくつでも選びなさい。   : 使ったことがない。; 足し算（たしざん）や掛け算（かけざん）など簡単な計算ができる。; sum関数を使える。; 通常の貼り付けと値の貼り付けの区別がわかる。; 3^3の答えがわかる。,足し算（たしざん）や掛け算（かけざん）など簡単な計算ができる。,世界のニュースに関心がありますか？   : そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,どちらともいえない,ポップス(英語の流行歌)に関心がありますか？   : そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,どちらともいえない,米国(べいこく)の映画に関心がありますか？   : そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,どちらともいえない,米国あるいは日本の株に関心がありますか？: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,どちらともいえない,他に関心のあることがあれば書いてください。,とくにありません。
1,もし遠隔授業になった場合、この授業を受講するのに主に使うのはどれですか？一つ選んでください。   : コンピュータ（Mac）; コンピュータ（Windows）; コンピュータ（Linux）; スマートフォン（iPhone）; スマートフォン（Android）; タブレット（iPad）   ; タブレット（Android）   ; その他,コンピュータ（Windows）,英語に関心がありますか？: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,どちらかというとそう思う,コンピュータやインターネットに関心がありますか？: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,そう思う,Excelについて当てはまるものをいくつでも選びなさい。   : 使ったことがない。; 足し算（たしざん）や掛け算（かけざん）など簡単な計算ができる。; sum関数を使える。; 通常の貼り付けと値の貼り付けの区別がわかる。; 3^3の答えがわかる。,足し算（たしざん）や掛け算（かけざん）など簡単な計算ができる。; sum関数を使える。; 通常の貼り付けと値の貼り付けの区別がわかる。,世界のニュースに関心がありますか？   : そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,どちらかというとそう思う,ポップス(英語の流行歌)に関心がありますか？   : そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,そう思わない,米国(べいこく)の映画に関心がありますか？   : そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,そう思わない,米国あるいは日本の株に関心がありますか？: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,どちらともいえない,他に関心のあることがあれば書いてください。,特になし
2,もし遠隔授業になった場合、この授業を受講するのに主に使うのはどれですか？一つ選んでください。   : コンピュータ（Mac）; コンピュータ（Windows）; コンピュータ（Linux）; スマートフォン（iPhone）; スマートフォン（Android）; タブレット（iPad）   ; タブレット（Android）   ; その他,コンピュータ（Windows）,英語に関心がありますか？: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,どちらかというとそう思う,コンピュータやインターネットに関心がありますか？: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,そう思う,Excelについて当てはまるものをいくつでも選びなさい。   : 使ったことがない。; 足し算（たしざん）や掛け算（かけざん）など簡単な計算ができる。; sum関数を使える。; 通常の貼り付けと値の貼り付けの区別がわかる。; 3^3の答えがわかる。,通常の貼り付けと値の貼り付けの区別がわかる。,世界のニュースに関心がありますか？   : そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,-,ポップス(英語の流行歌)に関心がありますか？   : そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,そう思う,米国(べいこく)の映画に関心がありますか？   : そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,そう思う,米国あるいは日本の株に関心がありますか？: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,どちらかというとそう思う,他に関心のあることがあれば書いてください。,特にありません。
3,もし遠隔授業になった場合、この授業を受講するのに主に使うのはどれですか？一つ選んでください。   : コンピュータ（Mac）; コンピュータ（Windows）; コンピュータ（Linux）; スマートフォン（iPhone）; スマートフォン（Android）; タブレット（iPad）   ; タブレット（Android）   ; その他,スマートフォン（iPhone）,英語に関心がありますか？: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,どちらともいえない,コンピュータやインターネットに関心がありますか？: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,どちらかというとそう思う,Excelについて当てはまるものをいくつでも選びなさい。   : 使ったことがない。; 足し算（たしざん）や掛け算（かけざん）など簡単な計算ができる。; sum関数を使える。; 通常の貼り付けと値の貼り付けの区別がわかる。; 3^3の答えがわかる。,足し算（たしざん）や掛け算（かけざん）など簡単な計算ができる。,世界のニュースに関心がありますか？   : そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,どちらともいえない,ポップス(英語の流行歌)に関心がありますか？   : そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,どちらかというとそう思う,米国(べいこく)の映画に関心がありますか？   : そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,どちらかというとそう思わない,米国あるいは日本の株に関心がありますか？: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,そう思わない,他に関心のあることがあれば書いてください。,他国のスポーツや食べ物に興味があります。
4,もし遠隔授業になった場合、この授業を受講するのに主に使うのはどれですか？一つ選んでください。   : コンピュータ（Mac）; コンピュータ（Windows）; コンピュータ（Linux）; スマートフォン（iPhone）; スマートフォン（Android）; タブレット（iPad）   ; タブレット（Android）   ; その他,スマートフォン（iPhone）,英語に関心がありますか？: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,そう思う,コンピュータやインターネットに関心がありますか？: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,そう思う,Excelについて当てはまるものをいくつでも選びなさい。   : 使ったことがない。; 足し算（たしざん）や掛け算（かけざん）など簡単な計算ができる。; sum関数を使える。; 通常の貼り付けと値の貼り付けの区別がわかる。; 3^3の答えがわかる。,使ったことがない。,世界のニュースに関心がありますか？   : そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,どちらかというとそう思う,ポップス(英語の流行歌)に関心がありますか？   : そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,どちらかというとそう思う,米国(べいこく)の映画に関心がありますか？   : そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,どちらかというとそう思う,米国あるいは日本の株に関心がありますか？: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,どちらかというとそう思う,他に関心のあることがあれば書いてください。,海外のスポーツや文化、自然について。
5,もし遠隔授業になった場合、この授業を受講するのに主に使うのはどれですか？一つ選んでください。   : コンピュータ（Mac）; コンピュータ（Windows）; コンピュータ（Linux）; スマートフォン（iPhone）; スマートフォン（Android）; タブレット（iPad）   ; タブレット（Android）   ; その他,コンピュータ（Windows）,英語に関心がありますか？: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,どちらともいえない,コンピュータやインターネットに関心がありますか？: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,そう思う,Excelについて当てはまるものをいくつでも選びなさい。   : 使ったことがない。; 足し算（たしざん）や掛け算（かけざん）など簡単な計算ができる。; sum関数を使える。; 通常の貼り付けと値の貼り付けの区別がわかる。; 3^3の答えがわかる。,足し算（たしざん）や掛け算（かけざん）など簡単な計算ができる。,世界のニュースに関心がありますか？   : そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,どちらともいえない,ポップス(英語の流行歌)に関心がありますか？   : そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,どちらかというとそう思わない,米国(べいこく)の映画に関心がありますか？   : そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,どちらともいえない,米国あるいは日本の株に関心がありますか？: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,どちらともいえない,他に関心のあることがあれば書いてください。,-
6,もし遠隔授業になった場合、この授業を受講するのに主に使うのはどれですか？一つ選んでください。   : コンピュータ（Mac）; コンピュータ（Windows）; コンピュータ（Linux）; スマートフォン（iPhone）; スマートフォン（Android）; タブレット（iPad）   ; タブレット（Android）   ; その他,スマートフォン（iPhone）,英語に関心がありますか？: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,そう思う,コンピュータやインターネットに関心がありますか？: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,そう思う,Excelについて当てはまるものをいくつでも選びなさい。   : 使ったことがない。; 足し算（たしざん）や掛け算（かけざん）など簡単な計算ができる。; sum関数を使える。; 通常の貼り付けと値の貼り付けの区別がわかる。; 3^3の答えがわかる。,使ったことがない。,世界のニュースに関心がありますか？   : そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,そう思う,ポップス(英語の流行歌)に関心がありますか？   : そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,そう思う,米国(べいこく)の映画に関心がありますか？   : そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,どちらともいえない,米国あるいは日本の株に関心がありますか？: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,そう思う,他に関心のあることがあれば書いてください。,-
7,もし遠隔授業になった場合、この授業を受講するのに主に使うのはどれですか？一つ選んでください。   : コンピュータ（Mac）; コンピュータ（Windows）; コンピュータ（Linux）; スマートフォン（iPhone）; スマートフォン（Android）; タブレット（iPad）   ; タブレット（Android）   ; その他,-,英語に関心がありますか？: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,-,コンピュータやインターネットに関心がありますか？: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,-,Excelについて当てはまるものをいくつでも選びなさい。   : 使ったことがない。; 足し算（たしざん）や掛け算（かけざん）など簡単な計算ができる。; sum関数を使える。; 通常の貼り付けと値の貼り付けの区別がわかる。; 3^3の答えがわかる。,-,世界のニュースに関心がありますか？   : そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,-,ポップス(英語の流行歌)に関心がありますか？   : そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,-,米国(べいこく)の映画に関心がありますか？   : そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,-,米国あるいは日本の株に関心がありますか？: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,-,他に関心のあることがあれば書いてください。,-
8,もし遠隔授業になった場合、この授業を受講するのに主に使うのはどれですか？一つ選んでください。   : コンピュータ（Mac）; コンピュータ（Windows）; コンピュータ（Linux）; スマートフォン（iPhone）; スマートフォン（Android）; タブレット（iPad）   ; タブレット（Android）   ; その他,スマートフォン（iPhone）,英語に関心がありますか？: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,どちらかというとそう思う,コンピュータやインターネットに関心がありますか？: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,そう思う,Excelについて当てはまるものをいくつでも選びなさい。   : 使ったことがない。; 足し算（たしざん）や掛け算（かけざん）など簡単な計算ができる。; sum関数を使える。; 通常の貼り付けと値の貼り付けの区別がわかる。; 3^3の答えがわかる。,通常の貼り付けと値の貼り付けの区別がわかる。,世界のニュースに関心がありますか？   : そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,どちらかというとそう思う,ポップス(英語の流行歌)に関心がありますか？   : そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,そう思う,米国(べいこく)の映画に関心がありますか？   : そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,そう思う,米国あるいは日本の株に関心がありますか？: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,どちらともいえない,他に関心のあることがあれば書いてください。,特にない
9,もし遠隔授業になった場合、この授業を受講するのに主に使うのはどれですか？一つ選んでください。   : コンピュータ（Mac）; コンピュータ（Windows）; コンピュータ（Linux）; スマートフォン（iPhone）; スマートフォン（Android）; タブレット（iPad）   ; タブレット（Android）   ; その他,スマートフォン（iPhone）,英語に関心がありますか？: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,どちらかというとそう思わない,コンピュータやインターネットに関心がありますか？: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,どちらかというとそう思う,Excelについて当てはまるものをいくつでも選びなさい。   : 使ったことがない。; 足し算（たしざん）や掛け算（かけざん）など簡単な計算ができる。; sum関数を使える。; 通常の貼り付けと値の貼り付けの区別がわかる。; 3^3の答えがわかる。,足し算（たしざん）や掛け算（かけざん）など簡単な計算ができる。,世界のニュースに関心がありますか？   : そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,どちらかというとそう思わない,ポップス(英語の流行歌)に関心がありますか？   : そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,どちらともいえない,米国(べいこく)の映画に関心がありますか？   : そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,そう思わない,米国あるいは日本の株に関心がありますか？: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,どちらともいえない,他に関心のあることがあれば書いてください。,ありません
10,もし遠隔授業になった場合、この授業を受講するのに主に使うのはどれですか？一つ選んでください。   : コンピュータ（Mac）; コンピュータ（Windows）; コンピュータ（Linux）; スマートフォン（iPhone）; スマートフォン（Android）; タブレット（iPad）   ; タブレット（Android）   ; その他,タブレット（iPad）,英語に関心がありますか？: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,どちらかというとそう思う,コンピュータやインターネットに関心がありますか？: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,どちらかというとそう思う,Excelについて当てはまるものをいくつでも選びなさい。   : 使ったことがない。; 足し算（たしざん）や掛け算（かけざん）など簡単な計算ができる。; sum関数を使える。; 通常の貼り付けと値の貼り付けの区別がわかる。; 3^3の答えがわかる。,足し算（たしざん）や掛け算（かけざん）など簡単な計算ができる。,世界のニュースに関心がありますか？   : そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,どちらかというとそう思う,ポップス(英語の流行歌)に関心がありますか？   : そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,どちらかというとそう思う,米国(べいこく)の映画に関心がありますか？   : そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,どちらかというとそう思う,米国あるいは日本の株に関心がありますか？: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,どちらかというとそう思う,他に関心のあることがあれば書いてください。,-
11,もし遠隔授業になった場合、この授業を受講するのに主に使うのはどれですか？一つ選んでください。   : コンピュータ（Mac）; コンピュータ（Windows）; コンピュータ（Linux）; スマートフォン（iPhone）; スマートフォン（Android）; タブレット（iPad）   ; タブレット（Android）   ; その他,スマートフォン（iPhone）,英語に関心がありますか？: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,どちらともいえない,コンピュータやインターネットに関心がありますか？: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,どちらかというとそう思う,Excelについて当てはまるものをいくつでも選びなさい。   : 使ったことがない。; 足し算（たしざん）や掛け算（かけざん）など簡単な計算ができる。; sum関数を使える。; 通常の貼り付けと値の貼り付けの区別がわかる。; 3^3の答えがわかる。,通常の貼り付けと値の貼り付けの区別がわかる。,世界のニュースに関心がありますか？   : そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,どちらかというとそう思う,ポップス(英語の流行歌)に関心がありますか？   : そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,どちらかというとそう思う,米国(べいこく)の映画に関心がありますか？   : そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,どちらかというとそう思う,米国あるいは日本の株に関心がありますか？: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,どちらともいえない,他に関心のあることがあれば書いてください。,特にない
12,もし遠隔授業になった場合、この授業を受講するのに主に使うのはどれですか？一つ選んでください。   : コンピュータ（Mac）; コンピュータ（Windows）; コンピュータ（Linux）; スマートフォン（iPhone）; スマートフォン（Android）; タブレット（iPad）   ; タブレット（Android）   ; その他,スマートフォン（iPhone）,英語に関心がありますか？: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,そう思わない,コンピュータやインターネットに関心がありますか？: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,そう思う,Excelについて当てはまるものをいくつでも選びなさい。   : 使ったことがない。; 足し算（たしざん）や掛け算（かけざん）など簡単な計算ができる。; sum関数を使える。; 通常の貼り付けと値の貼り付けの区別がわかる。; 3^3の答えがわかる。,足し算（たしざん）や掛け算（かけざん）など簡単な計算ができる。; sum関数を使える。,世界のニュースに関心がありますか？   : そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,そう思わない,ポップス(英語の流行歌)に関心がありますか？   : そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,どちらともいえない,米国(べいこく)の映画に関心がありますか？   : そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,そう思わない,米国あるいは日本の株に関心がありますか？: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,そう思わない,他に関心のあることがあれば書いてください。,英語を理解していないので、文法などの日常会話ができるくらいは話せるようになりたいと思いました。
13,もし遠隔授業になった場合、この授業を受講するのに主に使うのはどれですか？一つ選んでください。   : コンピュータ（Mac）; コンピュータ（Windows）; コンピュータ（Linux）; スマートフォン（iPhone）; スマートフォン（Android）; タブレット（iPad）   ; タブレット（Android）   ; その他,スマートフォン（iPhone）,英語に関心がありますか？: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,どちらかというとそう思わない,コンピュータやインターネットに関心がありますか？: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,どちらかというとそう思う,Excelについて当てはまるものをいくつでも選びなさい。   : 使ったことがない。; 足し算（たしざん）や掛け算（かけざん）など簡単な計算ができる。; sum関数を使える。; 通常の貼り付けと値の貼り付けの区別がわかる。; 3^3の答えがわかる。,足し算（たしざん）や掛け算（かけざん）など簡単な計算ができる。,世界のニュースに関心がありますか？   : そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,どちらともいえない,ポップス(英語の流行歌)に関心がありますか？   : そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,どちらかというとそう思わない,米国(べいこく)の映画に関心がありますか？   : そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,どちらともいえない,米国あるいは日本の株に関心がありますか？: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,そう思わない,他に関心のあることがあれば書いてください。,-
14,もし遠隔授業になった場合、この授業を受講するのに主に使うのはどれですか？一つ選んでください。   : コンピュータ（Mac）; コンピュータ（Windows）; コンピュータ（Linux）; スマートフォン（iPhone）; スマートフォン（Android）; タブレット（iPad）   ; タブレット（Android）   ; その他,コンピュータ（Windows）,英語に関心がありますか？: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,そう思う,コンピュータやインターネットに関心がありますか？: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,そう思う,Excelについて当てはまるものをいくつでも選びなさい。   : 使ったことがない。; 足し算（たしざん）や掛け算（かけざん）など簡単な計算ができる。; sum関数を使える。; 通常の貼り付けと値の貼り付けの区別がわかる。; 3^3の答えがわかる。,足し算（たしざん）や掛け算（かけざん）など簡単な計算ができる。,世界のニュースに関心がありますか？   : そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,どちらかというとそう思う,ポップス(英語の流行歌)に関心がありますか？   : そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,どちらともいえない,米国(べいこく)の映画に関心がありますか？   : そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,どちらともいえない,米国あるいは日本の株に関心がありますか？: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,どちらともいえない,他に関心のあることがあれば書いてください。,-
15,もし遠隔授業になった場合、この授業を受講するのに主に使うのはどれですか？一つ選んでください。   : コンピュータ（Mac）; コンピュータ（Windows）; コンピュータ（Linux）; スマートフォン（iPhone）; スマートフォン（Android）; タブレット（iPad）   ; タブレット（Android）   ; その他,コンピュータ（Windows）,英語に関心がありますか？: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,どちらともいえない,コンピュータやインターネットに関心がありますか？: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,どちらかというとそう思う,Excelについて当てはまるものをいくつでも選びなさい。   : 使ったことがない。; 足し算（たしざん）や掛け算（かけざん）など簡単な計算ができる。; sum関数を使える。; 通常の貼り付けと値の貼り付けの区別がわかる。; 3^3の答えがわかる。,使ったことがない。,世界のニュースに関心がありますか？   : そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,どちらかというとそう思う,ポップス(英語の流行歌)に関心がありますか？   : そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,どちらともいえない,米国(べいこく)の映画に関心がありますか？   : そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,どちらかというとそう思わない,米国あるいは日本の株に関心がありますか？: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,どちらかというとそう思わない,他に関心のあることがあれば書いてください。,-
16,もし遠隔授業になった場合、この授業を受講するのに主に使うのはどれですか？一つ選んでください。   : コンピュータ（Mac）; コンピュータ（Windows）; コンピュータ（Linux）; スマートフォン（iPhone）; スマートフォン（Android）; タブレット（iPad）   ; タブレット（Android）   ; その他,タブレット（iPad）,英語に関心がありますか？: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,どちらかというとそう思う,コンピュータやインターネットに関心がありますか？: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,そう思う,Excelについて当てはまるものをいくつでも選びなさい。   : 使ったことがない。; 足し算（たしざん）や掛け算（かけざん）など簡単な計算ができる。; sum関数を使える。; 通常の貼り付けと値の貼り付けの区別がわかる。; 3^3の答えがわかる。,sum関数を使える。,世界のニュースに関心がありますか？   : そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,どちらかというとそう思う,ポップス(英語の流行歌)に関心がありますか？   : そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,どちらかというとそう思う,米国(べいこく)の映画に関心がありますか？   : そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,そう思う,米国あるいは日本の株に関心がありますか？: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,どちらかというとそう思う,他に関心のあることがあれば書いてください。,-
17,もし遠隔授業になった場合、この授業を受講するのに主に使うのはどれですか？一つ選んでください。   : コンピュータ（Mac）; コンピュータ（Windows）; コンピュータ（Linux）; スマートフォン（iPhone）; スマートフォン（Android）; タブレット（iPad）   ; タブレット（Android）   ; その他,スマートフォン（iPhone）,英語に関心がありますか？: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,どちらともいえない,コンピュータやインターネットに関心がありますか？: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,どちらかというとそう思わない,Excelについて当てはまるものをいくつでも選びなさい。   : 使ったことがない。; 足し算（たしざん）や掛け算（かけざん）など簡単な計算ができる。; sum関数を使える。; 通常の貼り付けと値の貼り付けの区別がわかる。; 3^3の答えがわかる。,使ったことがない。,世界のニュースに関心がありますか？   : そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,どちらかというとそう思う,ポップス(英語の流行歌)に関心がありますか？   : そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,どちらともいえない,米国(べいこく)の映画に関心がありますか？   : そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,どちらかというとそう思う,米国あるいは日本の株に関心がありますか？: そう思う; どちらかというとそう思う; どちらともいえない; どちらかというとそう思わない; そう思わない,どちらともいえない,他に関心のあることがあれば書いてください。,ありません
